name	url	our_price	list_price	ingredients	%_protein_min	%_fat_min	%_fiber_max	%_moisture_max	item_number	weight	lifestage	food_form	special_diet	packaging_type	food_texture	brand	breed_size	dimensions	small_pet_type	%_misc_components	kcal_per_kg	kcal_per_lb	kcal_per_oz	kcal_per_cup	kcal_per_item	item_volume_for_kcal	total_mass_lb	item_oz	item_count	moisture_warning	conversion_warning
Meow Mix Tender Centers Salmon & White Meat Chicken Dry Cat Food, 13.5-lb bag	https://www.chewy.com/meow-mix-tender-centers-salmon-white/dp/127518	10.47		Whole Ground Corn, Chicken By-Product Meal, Corn Gluten Meal, Soybean Meal, Whole Wheat, Animal Fat (Preserved with Mixed Tocopherols), Animal Digest, Corn Syrup, Glycerin, Phosphoric Acid, Calcium Carbonate, Salmon Meal, Titanium Dioxide (Color), Salt, Calcium Sulfate, Potassium Sorbate (Used As A Preservative), Potassium Chloride, Choline Chloride, L-Lysine, Vitamins (Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, D-Calcium Pantothenate, Thiamine Mononitrate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Dicalcium Phosphate, Carrageenan, Yellow 6, Taurine, Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Yellow 5, Red 40, Natural White Meat Chicken Flavor, Dl-Methionine, BHA (Used As A Preservative), Rosemary Extract, Celery Extract.	31.0	11.0	4.0	12.0	99977.0	13.5	adult	dry food	n/a							3.05	3530.0			328.0			13.5		1.0		
Fancy Feast Classic Tender Liver & Chicken Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-tender-liver/dp/103904	15.36	16.8	Chicken Broth, Liver, Meat By-Products, Chicken, Fish, Artificial and Natural Flavors, Tricalcium Phosphate, Guar Gum, Minerals [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Salt, Taurine, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement]. D-6680.	10.0	5.0	1.5	78.0	76027.0	5.3	adult	wet food	grain-free pea-free	can	pate	purina				3.55	1147.0				97.0			3.0	24.0		
Fancy Feast Gravy Lovers Chicken Feast in Grilled Chicken Flavor Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-gravy-lovers-chicken/dp/103842	13.2	16.8	Poultry Broth, Chicken, Liver, Wheat Gluten, Meat By-Products, Turkey, Corn Starch-Modified, Artificial And Natural Flavors, Soy Flour, Salt, Tricalcium Phosphate, Added Color, Potassium Chloride, Natural Grilled Chicken Flavor, Taurine, Choline Chloride, Magnesium Sulfate, Mono And Dicalcium Phosphate, Thiamine Mononitrate, Vitamin E Supplement, Zinc Sulfate, Ferrous Sulfate, Niacin, Calcium Pantothenate, Vitamin A Supplement, Copper Sulfate, Menadione Sodium Bisulfite Complex (Source Of Vitamin K Activity), Manganese Sulfate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin B-12 Supplement, Biotin, Folic Acid, Vitamin D-3 Supplement, Potassium Iodide.	9.0	2.0	1.5	82.0	75964.0	5.3	adult	wet food		can	chunks in gravy	purina				3.05	793.0				67.0			3.0	24.0		
Iams ProActive Health Indoor Weight & Hairball Care Dry Cat Food, 16-lb bag	https://www.chewy.com/iams-proactive-health-indoor-weight/dp/121262	23.84	24.99	Chicken, Chicken By-Product Meal, Corn Grits, Corn Gluten Meal, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Dried Plain Beet Pulp, Turkey, Powdered Cellulose, Natural Flavor, Brewers Dried Yeast, Dried Egg Product, Caramel Color, Potassium Chloride, Sodium Bisulfate, Choline Chloride, Fish Oil (Preserved with Mixed  Tocopherols), Calcium Carbonate, Fructooligosaccharides, Vitamins [Vitamin E Supplement, Niacin, Ascorbic Acid, Vitamin A Acetate, Calcium Pantothenate, Biotin, Thiamine Mononitrate (Source  of Vitamin B1), Pyridoxine Hydrochloride (Source  of Vitamin B6), Vitamin B12 Supplement, Riboflavin Supplement (Source  of Vitamin B2), Vitamin D3 Supplement, Folic Acid], Taurine, Minerals [Zinc Oxide, Manganese Sulfate, Copper Sulfate, Potassium Iodide], Mixed Tocopherols and Citric Acid (Preservatives ), L-Carnitine, Rosemary Extract.	30.0	13.5	8.3	10.0	93653.0	16.0	adult	dry food	indoor weight control							2.058	3364.0			302.0			16.0		1.0		
9 Lives Daily Essentials with Chicken, Beef & Salmon Flavor Dry Cat Food, 20-lb bag	https://www.chewy.com/9-lives-daily-essentials-chicken-beef/dp/127421	12.98		Whole Ground Corn, Chicken By-Product Meal, Corn Gluten Meal, Soybean Meal, Whole Wheat, Beef Fat (Preserved with Mixed Tocopherols), Meat and Bone Meal, Animal Digest, Salmon Meal, Salt, Phosphoric Acid, Choline Chloride, Titanium Dioxide (Color), Vitamins (Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, D-Calcium Pantothenate, Thiamine Mononitrate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Potassium Chloride, Taurine, Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Red 40, Yellow 5, Yellow 6, BHA (Used As A Preservative), Blue 1, Blue 2, Rosemary Extract.	30.0	9.0	3.0	12.0	99879.0	20.0	adult	dry food	n/a							6.668	3430.0			306.0			20.0		1.0		
American Journey Turkey & Chicken Recipe Grain-Free Dry Cat Food, 12-lb bag	https://www.chewy.com/american-journey-turkey-chicken/dp/158630	28.66		Deboned Turkey, Turkey Meal, Chicken Meal, Tapioca Starch, Dried Egg Product, Pea Protein, Peas, Deboned Chicken, Natural Flavor, Menhaden Fish Meal, Chicken Fat (Preserved with Mixed Tocopherols), Flaxseed, Pea Fiber, Choline Chloride, Potassium Chloride, Inulin, DL-Methionine, Taurine, Salt, Spinach, Apples, Blueberries, Carrots, Cranberries, Pumpkin, Mixed Tocopherols (Preservative), Ferrous Sulfate, Zinc Proteinate, Zinc Sulfate, Vitamin E Supplement, Iron Proteinate, Niacin Supplement, Copper Sulfate, Sodium Selenite, Copper Proteinate, Vitamin A Supplement, Thiamine Mononitrate, L-Carnitine, Manganese Sulfate, Manganese Proteinate, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Folic Acid, Calcium Iodate, Vitamin D3 Supplement, Rosemary Extract, Yeast Culture, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Aspergillus Niger Fermentation Extract, Dried Trichoderma Longibrachiatum Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract.	40.0	15.0	4.0	10.0	131581.0	12.0	adult	dry food	grain-free no corn no wheat no soy							2.3619999999999997	3670.0			395.0			12.0		1.0		
Hill's Prescription Diet c/d Multicare Urinary Care with Chicken Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/hills-prescription-diet-cd-multicare/dp/54783	54.99		Pork By-Products, Water, Pork Liver, Chicken, Brewers Rice, Corn Starch, Soybean Meal, Chicken Liver Flavor, Chicken Fat, Fish Oil, Calcium Sulfate, Guar Gum, Brewers Dried Yeast, Dicalcium Phosphate, DL-Methionine, Calcium Carbonate, Choline Chloride, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Niacin Supplement, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Folic Acid, Vitamin D3 Supplement), Taurine, Iodized Salt, Potassium Citrate, Potassium Chloride, L-Lysine, minerals (Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Calcium Iodate), Beta-Carotene.	8.5	3.5	1.0	76.5	69865.0	8.25	adult	wet food	pea-free veterinary diet	can	pate	hill's				0.0			163.0		163.0			5.5	24.0	% moisture max estimated	
Cat Chow Naturals Original Dry Cat Food, 13-lb bag	https://www.chewy.com/cat-chow-naturals-original-dry-cat/dp/127682	12.84	15.99	Chicken, Corn Gluten Meal, Chicken By-Product Meal, Rice, Soybean Meal, Ground Yellow Corn, Ground Whole Wheat, Beef Tallow Naturally Preserved With Mixed-Tocopherols, Natural Liver Flavor, Salmon, Phosphoric Acid, Calcium Carbonate, Natural Flavor, Salt, Choline Chloride, Dried Spinach, Taurine, Potassium Chloride, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite]. G452118.	34.0	13.0	3.0	12.0	100144.0	13.0	adult	dry food	high-protein pea-free indoor			purina kitten chow				3.53	3740.0			398.0			13.0		1.0		
Royal Canin Veterinary Diet Urinary SO Morsels in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/royal-canin-veterinary-diet-urinary/dp/35159	42.96	42.99	Water Sufficient For Processing, Pork By-Products, Chicken Liver, Chicken By-Products, Wheat Gluten, Wheat Flour, Natural Flavors, Modified Corn Starch, Pork Plasma, Powdered Cellulose, Vegetable Oil, Salt, Fish Oil, Calcium Sulfate, Potassium Chloride, Guar Gum, Sodium Tripolyphosphate, Taurine, Sodium Bisulfate, Dl-Methionine, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Thiamine Mononitrate (Vitamin B1), Niacin Supplement, Biotin, D-Calcium Pantothenate, Folic Acid, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement], Choline Chloride, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Marigold Extract (Tagetes Erecta L.).	8.5	2.0	1.75	82.5	49989.0	4.5	adult	wet food	pea-free veterinary diet	can	chunks in gravy	royal canin				0.0	765.0		65.0		65.0			3.0	24.0		
Fancy Feast Classic Chicken Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-chicken-feast/dp/103887	15.12	16.8	Chicken, Poultry Broth, Liver, Meat By-Products, Fish, Artificial And Natural Flavors, Tricalcium Phosphate, Guar Gum, Added Color, Salt, Minerals [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Taurine, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement], Sodium Nitrite (To Promote Color Retention). D-6672.	10.0	5.0	1.5	78.0	76011.0	5.3	adult	wet food		can	pate	purina				3.25	1159.0				99.0			3.0	24.0		
