name	url	our_price	ingredients	lifestage	food_form	special_diet	packaging_type	food_texture	brand	moisture_warning	%_calories_carbohydrate	%_calories_min_protein	%_calories_min_fat	price_per_kcal
Meow Mix Tender Centers Salmon & White Meat Chicken Dry Cat Food, 13.5-lb bag	https://www.chewy.com/meow-mix-tender-centers-salmon-white/dp/127518	10.47	Whole Ground Corn, Chicken By-Product Meal, Corn Gluten Meal, Soybean Meal, Whole Wheat, Animal Fat (Preserved with Mixed Tocopherols), Animal Digest, Corn Syrup, Glycerin, Phosphoric Acid, Calcium Carbonate, Salmon Meal, Titanium Dioxide (Color), Salt, Calcium Sulfate, Potassium Sorbate (Used As A Preservative), Potassium Chloride, Choline Chloride, L-Lysine, Vitamins (Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, D-Calcium Pantothenate, Thiamine Mononitrate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Dicalcium Phosphate, Carrageenan, Yellow 6, Taurine, Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Yellow 5, Red 40, Natural White Meat Chicken Flavor, Dl-Methionine, BHA (Used As A Preservative), Rosemary Extract, Celery Extract.	adult	dry food						40.29409591369246	32.06975541269489	27.63614867361265	0.0004844475920679887
Fancy Feast Classic Tender Liver & Chicken Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-tender-liver/dp/103904	15.36	Chicken Broth, Liver, Meat By-Products, Chicken, Fish, Artificial and Natural Flavors, Tricalcium Phosphate, Guar Gum, Minerals [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Salt, Taurine, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement]. D-6680.	adult	wet food	grain-free pea-free	can	pate	purina		8.093685146753641	41.50607767565964	50.4002371775867	0.006597938144329896
Fancy Feast Gravy Lovers Chicken Feast in Grilled Chicken Flavor Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-gravy-lovers-chicken/dp/103842	13.2	Poultry Broth, Chicken, Liver, Wheat Gluten, Meat By-Products, Turkey, Corn Starch-Modified, Artificial And Natural Flavors, Soy Flour, Salt, Tricalcium Phosphate, Added Color, Potassium Chloride, Natural Grilled Chicken Flavor, Taurine, Choline Chloride, Magnesium Sulfate, Mono And Dicalcium Phosphate, Thiamine Mononitrate, Vitamin E Supplement, Zinc Sulfate, Ferrous Sulfate, Niacin, Calcium Pantothenate, Vitamin A Supplement, Copper Sulfate, Menadione Sodium Bisulfite Complex (Source Of Vitamin K Activity), Manganese Sulfate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin B-12 Supplement, Biotin, Folic Acid, Vitamin D-3 Supplement, Potassium Iodide.	adult	wet food		can	chunks in gravy	purina		15.024091108190992	55.19053876478317	29.78537012702584	0.008208955223880597
Iams ProActive Health Indoor Weight & Hairball Care Dry Cat Food, 16-lb bag	https://www.chewy.com/iams-proactive-health-indoor-weight/dp/121262	23.84	Chicken, Chicken By-Product Meal, Corn Grits, Corn Gluten Meal, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Dried Plain Beet Pulp, Turkey, Powdered Cellulose, Natural Flavor, Brewers Dried Yeast, Dried Egg Product, Caramel Color, Potassium Chloride, Sodium Bisulfate, Choline Chloride, Fish Oil (Preserved with Mixed  Tocopherols), Calcium Carbonate, Fructooligosaccharides, Vitamins [Vitamin E Supplement, Niacin, Ascorbic Acid, Vitamin A Acetate, Calcium Pantothenate, Biotin, Thiamine Mononitrate (Source  of Vitamin B1), Pyridoxine Hydrochloride (Source  of Vitamin B6), Vitamin B12 Supplement, Riboflavin Supplement (Source  of Vitamin B2), Vitamin D3 Supplement, Folic Acid], Taurine, Minerals [Zinc Oxide, Manganese Sulfate, Copper Sulfate, Potassium Iodide], Mixed Tocopherols and Citric Acid (Preservatives ), L-Carnitine, Rosemary Extract.	adult	dry food	indoor weight control					36.53374614076078	30.32517249246925	33.14108136676997	0.0009766498216409038
9 Lives Daily Essentials with Chicken, Beef & Salmon Flavor Dry Cat Food, 20-lb bag	https://www.chewy.com/9-lives-daily-essentials-chicken-beef/dp/127421	12.98	Whole Ground Corn, Chicken By-Product Meal, Corn Gluten Meal, Soybean Meal, Whole Wheat, Beef Fat (Preserved with Mixed Tocopherols), Meat and Bone Meal, Animal Digest, Salmon Meal, Salt, Phosphoric Acid, Choline Chloride, Titanium Dioxide (Color), Vitamins (Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, D-Calcium Pantothenate, Thiamine Mononitrate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Potassium Chloride, Taurine, Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Red 40, Yellow 5, Yellow 6, BHA (Used As A Preservative), Blue 1, Blue 2, Rosemary Extract.	adult	dry food						43.13232778338273	32.898653348456264	23.969018868160994	0.00041721428571428573
American Journey Turkey & Chicken Recipe Grain-Free Dry Cat Food, 12-lb bag	https://www.chewy.com/american-journey-turkey-chicken/dp/158630	28.66	Deboned Turkey, Turkey Meal, Chicken Meal, Tapioca Starch, Dried Egg Product, Pea Protein, Peas, Deboned Chicken, Natural Flavor, Menhaden Fish Meal, Chicken Fat (Preserved with Mixed Tocopherols), Flaxseed, Pea Fiber, Choline Chloride, Potassium Chloride, Inulin, DL-Methionine, Taurine, Salt, Spinach, Apples, Blueberries, Carrots, Cranberries, Pumpkin, Mixed Tocopherols (Preservative), Ferrous Sulfate, Zinc Proteinate, Zinc Sulfate, Vitamin E Supplement, Iron Proteinate, Niacin Supplement, Copper Sulfate, Sodium Selenite, Copper Proteinate, Vitamin A Supplement, Thiamine Mononitrate, L-Carnitine, Manganese Sulfate, Manganese Proteinate, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Folic Acid, Calcium Iodate, Vitamin D3 Supplement, Rosemary Extract, Yeast Culture, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Aspergillus Niger Fermentation Extract, Dried Trichoderma Longibrachiatum Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract.	adult	dry food	grain-free no corn no wheat no soy					27.257004402650832	38.07110049954723	34.67189509780194	0.0014349523160762945
Hill's Prescription Diet c/d Multicare Urinary Care with Chicken Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/hills-prescription-diet-cd-multicare/dp/54783	54.99	Pork By-Products, Water, Pork Liver, Chicken, Brewers Rice, Corn Starch, Soybean Meal, Chicken Liver Flavor, Chicken Fat, Fish Oil, Calcium Sulfate, Guar Gum, Brewers Dried Yeast, Dicalcium Phosphate, DL-Methionine, Calcium Carbonate, Choline Chloride, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Niacin Supplement, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Folic Acid, Vitamin D3 Supplement), Taurine, Iodized Salt, Potassium Citrate, Potassium Chloride, L-Lysine, minerals (Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Calcium Iodate), Beta-Carotene.	adult	wet food	pea-free veterinary diet	can	pate	hill's	% moisture max estimated	38.18181818181819	30.909090909090907	30.909090909090907	0.014056748466257669
Cat Chow Naturals Original Dry Cat Food, 13-lb bag	https://www.chewy.com/cat-chow-naturals-original-dry-cat/dp/127682	12.84	Chicken, Corn Gluten Meal, Chicken By-Product Meal, Rice, Soybean Meal, Ground Yellow Corn, Ground Whole Wheat, Beef Tallow Naturally Preserved With Mixed-Tocopherols, Natural Liver Flavor, Salmon, Phosphoric Acid, Calcium Carbonate, Natural Flavor, Salt, Choline Chloride, Dried Spinach, Taurine, Potassium Chloride, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite]. G452118.	adult	dry food	high-protein pea-free indoor			purina kitten chow		34.45572548515615	33.985920118807925	31.55835439603593	0.0005823159193747429
Royal Canin Veterinary Diet Urinary SO Morsels in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/royal-canin-veterinary-diet-urinary/dp/35159	42.96	Water Sufficient For Processing, Pork By-Products, Chicken Liver, Chicken By-Products, Wheat Gluten, Wheat Flour, Natural Flavors, Modified Corn Starch, Pork Plasma, Powdered Cellulose, Vegetable Oil, Salt, Fish Oil, Calcium Sulfate, Potassium Chloride, Guar Gum, Sodium Tripolyphosphate, Taurine, Sodium Bisulfate, Dl-Methionine, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Thiamine Mononitrate (Vitamin B1), Niacin Supplement, Biotin, D-Calcium Pantothenate, Folic Acid, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement], Choline Chloride, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Marigold Extract (Tagetes Erecta L.).	adult	wet food	pea-free veterinary diet	can	chunks in gravy	royal canin		28.21497120921305	45.68138195777352	26.103646833013432	0.02753846153846154
Fancy Feast Classic Chicken Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-chicken-feast/dp/103887	15.12	Chicken, Poultry Broth, Liver, Meat By-Products, Fish, Artificial And Natural Flavors, Tricalcium Phosphate, Guar Gum, Added Color, Salt, Minerals [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Taurine, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement], Sodium Nitrite (To Promote Color Retention). D-6672.	adult	wet food		can	pate	purina		9.224011713030746	40.995607613469986	49.780380673499266	0.006363636363636363
